Station,Lat,Lon,Divisions,Year,Count,Type
Kilmoganny,52.4609,-7.3293,Kilkenny/Carlow,2003,2,Theft
Kilmore Quay,52.1787,-6.5837,Wexford,2003,11,Theft
Kilnaleck,53.8585,-7.3179,Cavan/Monaghan,2003,16,Theft
Kilrickle,53.2302,-8.4524,Galway,2003,14,Theft
Kilrush,52.6411,-9.4811,Clare,2003,41,Theft
Kilsheelan,52.3615,-7.5798,Tipperary,2003,5,Theft
Kiltimagh,53.8461,-9.0058,Mayo,2003,33,Theft
Kiltormer,53.2376,-8.2713,Galway,2003,1,Theft
Kilworth,52.1763,-8.2496,Cork North,2003,14,Theft
Kingscourt,53.9043,-6.8068,Cavan/Monaghan,2003,38,Theft
Kinlough,54.4458,-8.287,Sligo/Leitrim,2003,23,Theft
Kinnegad,53.4559,-7.1028,Westmeath,2003,58,Theft
Kinnitty,53.0984,-7.7221,Laois/Offaly,2003,5,Theft
Kinsale,51.7063,-8.5255,Cork West,2003,120,Theft
Kinvara,53.1405,-8.9397,Galway,2003,19,Theft
Knock,53.7954,-8.9188,Mayo,2003,25,Theft
Knocknagoshel,52.3307,-9.3853,Kerry,2003,9,Theft
Lanesboro,53.67100000000001,-7.9853,Roscommon/Longford,2003,28,Theft
Laytown,53.6892,-6.244,Meath,2003,98,Theft
Leach Seoirse,53.3571,-8.9313,Galway,2003,21,Theft
Leamybrien,52.1693,-7.5216,Waterford,2003,15,Theft
Leitir Mor,53.2943,-9.6551,Galway,2003,10,Theft
Leixlip,53.3674,-6.4982,Kildare,2003,235,Theft
Letterfrack,53.5542,-9.9477,Galway,2003,7,Theft
Letterkenny,54.9547,-7.7364,Donegal,2003,394,Theft
Lifford,54.8328,-7.4803,Donegal,2003,32,Theft
Liscarroll,52.2596,-8.8063,Cork North,2003,4,Theft
Lisdoonvarna,53.0286,-9.2897,Clare,2003,22,Theft
Lismore,52.1367,-7.9355,Waterford,2003,26,Theft
Lissycasey,52.7461,-9.1544,Clare,2003,5,Theft
Listowel,52.4471,-9.4839,Kerry,2003,104,Theft
Littleton,52.6407,-7.7349,Tipperary,2003,14,Theft
Lixnaw,52.4041,-9.6166,Kerry,2003,11,Theft
Longford,53.7325,-7.8014,Roscommon/Longford,2003,278,Theft
Longwood,53.4546,-6.9270000000000005,Meath,2003,1,Theft
Lorrha,53.0937,-8.1221,Tipperary,2003,11,Theft
Loughrea,53.1974,-8.5699,Galway,2003,124,Theft
Louisburgh,53.7646,-9.8076,Mayo,2003,7,Theft
Louth,53.9524,-6.5379,Louth,2003,12,Theft
Lucan,53.3561,-6.4507,D.M.R. Western,2003,798,Theft
Lusk,53.5234,-6.1673,D.M.R. Northern,2003,110,Theft
Macroom,51.9063,-8.964,Cork West,2003,40,Theft
Maigh Cuilinn,53.3383,-9.1812,Galway,2003,28,Theft
Malahide,53.4512,-6.1519,D.M.R. Northern,2003,441,Theft
Mallow,52.1388,-8.6459,Cork North,2003,192,Theft
Manorhamilton,54.3044,-8.1785,Sligo/Leitrim,2003,47,Theft
Mayfield,51.9097,-8.429,Cork City,2003,162,Theft
Maynooth,53.3808,-6.5927,Kildare,2003,274,Theft
Mayorstone Park,52.6737,-8.6448,Limerick,2003,513,Theft
Midleton,51.9167,-8.1735,Cork North,2003,111,Theft
Milford Co Cork,52.3425,-8.8564,Cork North,2003,4,Theft
Milford,55.086999999999996,-7.6982,Donegal,2003,18,Theft
Millstreet Co. Cork,52.0601,-9.0615,Cork West,2003,25,Theft
Milltown,53.6116,-8.8975,Galway,2003,3,Theft
Miltown Malbay,52.8575,-9.4006,Clare,2003,32,Theft
Mitchelstown,52.2636,-8.2706,Cork North,2003,69,Theft
Moate,53.3957,-7.7345,Westmeath,2003,29,Theft
Mohill,53.9208,-7.8681,Sligo/Leitrim,2003,28,Theft
Monaghan,54.2514,-6.9675,Cavan/Monaghan,2003,210,Theft
Monasterevin,53.1382,-7.0547,Kildare,2003,60,Theft
Moneygall,52.8813,-7.9534,Tipperary,2003,5,Theft
Monivea,53.373999999999995,-8.7023,Galway,2003,0,Theft
Mooncoin,52.292,-7.2516,Kilkenny/Carlow,2003,11,Theft
Mountbellew,53.4712,-8.5001,Galway,2003,13,Theft
Mountcharles,54.6459,-8.1957,Donegal,2003,12,Theft
Mountjoy,53.3605,-6.2668,D.M.R. North Central,2003,1067,Theft
Mountmellick,53.1188,-7.3351,Laois/Offaly,2003,41,Theft
Mountrath,52.9982,-7.4781,Laois/Offaly,2003,45,Theft
Moville,55.1916,-7.0286,Donegal,2003,34,Theft
Moylough,53.4877,-8.567,Galway,2003,5,Theft
Moyne,52.7343,-7.7141,Tipperary,2003,4,Theft
Muff,55.0686,-7.2688,Donegal,2003,36,Theft
