HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Adult_weight_grams,Maximum_longevity_yrs,Specimen_origin,Sample_size,Data_quality,Metabolic_rate_W
2548,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,eremicus,Cactus mouse,25,7.4,captivity,medium,acceptable,0.173
1998,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,lilium,Little yellow-shouldered bat,20,12,captivity,small,acceptable,0.237
733,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pooecetes,gramineus,Vesper sparrow,25.7,7.9,wild,medium,acceptable,0.27412
2533,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,glareolus,Bank vole,20.8,4.9,captivity,small,acceptable,0.312
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,21.7667,36,captivity,medium,acceptable,0.00829
90,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,29.0222,9,wild,medium,acceptable,0.00576
751,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,erythrinus,Common rosefinch,24,9,wild,medium,acceptable,0.358
1022,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,Eastern phoebe,19.7,10.3,unknown,medium,acceptable,0.3449
1108,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,pubescens,Downy woodpecker,25.6,11.9,wild,medium,acceptable,0.383
622,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus,Great reed-warbler,30,10.1,wild,medium,acceptable,0.257
1997,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,White-lined broad-nosed bat,22,13,captivity,small,acceptable,0.25
2523,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,arvalis,Common vole,27.5,4.8,captivity,small,acceptable,0.343
2029,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,pallidus,Pallid bat,20.8,14.8,captivity,small,acceptable,0.104
2550,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,leucopus,White-footed mouse,23,7.9,captivity,small,acceptable,0.213
2620,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Muscardinus,avellanarius,Hazel dormouse,27.3,5.3,captivity,tiny,acceptable,0.351
2658,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,Long-tailed field mouse,23.4,6.3,captivity,medium,acceptable,0.264
968,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,borin,Garden warbler,24.6,24,captivity,small,acceptable,0.416
2530,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pinetorum,Woodland vole,25.5,3.8,captivity,small,acceptable,0.305
