Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,Male,Female,Total,Sex,xcoord,ycoord,Long,Lat
17808T,ST MARY'S PRIMARY,STROKESTOWN,CO ROSCOMMON,,,Roscommon,CATHOLIC,N,N,N,34,65,99,Mixed,192643,280802,-8.11161,53.7767
18720K,MILTOWN MALBAY B N S,MILTOWN MALBAY,CO CLARE,,,Clare,CATHOLIC,N,N,N,41,57,98,Mixed,105559,178905,-9.4021,52.8528
13483U,S N ATH NA LIONTA,MALLOW,CO CORK,,,Cork,CATHOLIC,N,N,N,53,45,98,Mixed,156299,90903,-8.63735,52.0685
13662U,DUNMANWAY CONVENT INF,DUNMANWAY,CO CORK,,,Cork,CATHOLIC,N,N,N,42,56,98,Mixed,123057,52900,-9.11362,51.7233
14433K,ABBEYSTREWRY N S,SKIBBEREEN,CO CORK,,,Cork,CHURCH OF IRELAND,N,N,N,44,54,98,Mixed,112551,32725,-9.2606,51.5405
14726C,KINSALE N S,KINSALE,CO CORK,,,Cork,CHURCH OF IRELAND,N,N,N,55,43,98,Mixed,164488,50903,-8.51381,51.7095
18129E,SCOIL NAOMH PEADAR,MOUNTCHARLES,CO DUN NA NGALL,,,Donegal,CATHOLIC,N,N,N,55,43,98,Mixed,187325,377413,-8.19635,54.6446
13815T,HOWTH RD MXD N S,HOWTH RD,CLONTARF,DUBLIN 3,,Dublin,PRESBYTERIAN,N,N,N,48,50,98,Mixed,318135,236332,-6.22518,53.364
17368R,CROI RONAOFA MEASCAITHE,WILLIAMSTOWN,CASTLEREA,CO GALWAY,,Galway,CATHOLIC,N,N,N,41,57,98,Mixed,161825,269748,-8.57774,53.6761
20405O,St Mary's National School,Island Road,Limerick,,,Limerick,CATHOLIC,N,Y,N,48,50,98,Mixed,157997.13,157767.54,-8.62096,52.6695
13320P,FERMOYLE MIXED N S,FERMOYLE,LANESBORO,CO LONGFORD,,Longford,CATHOLIC,N,Y,N,51,47,98,Mixed,200489,263851,-7.99261,53.6245
14049J,WHITEHALL N S,TARMONBARRY,LONGFORD,,,Longford,CATHOLIC,N,N,N,59,39,98,Mixed,204329,278692,-7.93436,53.7578
04796R,BRACKLOON N S,WESTPORT,CO MAYO,,,Mayo,CATHOLIC,N,Y,N,58,40,98,Mixed,96943,279420,-9.56259,53.7542
13555T,S N FAITCHE,WESTPORT,CO MAYO,,,Mayo,CATHOLIC,N,Y,N,49,49,98,Mixed,101974,290027,-9.48971,53.8504
14989L,PASSAGE EAST N S,PASSAGE EAST,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,50,48,98,Mixed,270154,109324,-6.97309,52.2313
16304J,MILLTOWNPASS N S,MILLTOWNPASS,CO WESTMEATH,,,Westmeath,CATHOLIC,N,N,N,44,54,98,Mixed,250006,243853,-7.24737,53.4424
12841P,ST PATRICKS N S,BALLYROEBUCK NS,BUNCLODY,CO WEXFORD,,Wexford,CATHOLIC,N,N,N,42,56,98,Mixed,298087,156462,-6.5505,52.6506
14492D,CURRACLOE N S,CURRACLOE,ENNISCORTHY,CO WEXFORD,,Wexford,CATHOLIC,N,N,N,50,48,98,Mixed,309524,127959,-6.39094,52.3923
18824W,ST IBERIUS N S,DAVITT ROAD,WEXFORD,CO WEXFORD,,Wexford,CHURCH OF IRELAND,N,N,N,55,43,98,Mixed,304405,121655,-6.46808,52.3367
11236Q,NEWMARKET B N S,NEWMARKET,CO CORK,,,Cork,CATHOLIC,N,N,N,97,0,97,Boys,131378,107392,-9.00409,52.2141
19901T,BOOTERSTOWN N S,CROSS AVE,BLACKROCK,CO DUBLIN,,Dublin,CHURCH OF IRELAND,N,N,N,43,54,97,Mixed,320654,229305,-6.19003,53.3003
16014A,ST FINIANS,AN CORAIN,CO CHIARRAI,,,Kerry,CATHOLIC,N,N,N,40,57,97,Mixed,50353,66975,-10.1713,51.8351
01556F,SCOIL BHRIDE,BALLYROAN,PORTLAOISE,CO LAOIS,,Laois,CATHOLIC,N,N,N,33,64,97,Mixed,247232,188518,-7.2973,52.9454
19975C,ST PATRICKS,BALLINAMUCK,CO LONGFORD,,,Longford,CATHOLIC,N,N,N,46,51,97,Mixed,219186,289572,-7.7084,53.8552
03275H,NEWTOWN N S,NEWTOWN,ARDEE,CO LOUTH,,Meath,CATHOLIC,N,N,N,48,49,97,Mixed,291724,286526,-6.60707,53.8201
11039O,KILBEG N S,KILBEG,CARLANSTOWN,CO MEATH,,Meath,CATHOLIC,N,N,N,47,50,97,Mixed,278934,283039,-6.80214,53.7909
17162U,S N BHRIGHDE,BAILE CORR,KELLS,CO MEATH,,Meath,CATHOLIC,N,N,N,46,51,97,Mixed,275739,271157,-6.85353,53.6846
04802J,CLOONACOOL N S,TUBBERCURRY,CO SLIGO,,,Sligo,CATHOLIC,N,N,N,52,45,97,Mixed,148926,316934,-8.78079,54.0989
02889O,S N AN CHLAIS MHOR,CHLAIS MOR,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,49,48,97,Mixed,212490,84286,-7.81808,52.0106
14450K,ST FEIGHANS MXD N S,FORE,CASTLEPOLLARD,CO WESTMEATH,,Westmeath,CATHOLIC,N,N,N,55,42,97,Mixed,251439,270006,-7.2215,53.6772
